[2020-08-18 02:56:23,905][INFO]:GRPCServer initiated
[2020-08-18 04:10:30,107][INFO]:轮次74，轮次时间2020-08-18 04:09:59.761647，100K路由发送延时0:00:25.876047，100K路由传输耗时0:00:04.439079
[2020-08-18 04:11:30,024][INFO]:轮次75，轮次时间2020-08-18 04:10:59.751815，100K路由发送延时0:00:25.906224，100K路由传输耗时0:00:04.344180
[2020-08-18 04:12:29,886][INFO]:轮次76，轮次时间2020-08-18 04:11:59.749212，100K路由发送延时0:00:25.757658，100K路由传输耗时0:00:04.361385
[2020-08-18 04:13:30,150][INFO]:轮次77，轮次时间2020-08-18 04:12:59.761102，100K路由发送延时0:00:25.770799，100K路由传输耗时0:00:04.599426
[2020-08-18 04:14:29,829][INFO]:轮次78，轮次时间2020-08-18 04:13:59.760369，100K路由发送延时0:00:25.756648，100K路由传输耗时0:00:04.281604
[2020-08-18 04:15:30,151][INFO]:轮次79，轮次时间2020-08-18 04:14:59.760164，100K路由发送延时0:00:26.070283，100K路由传输耗时0:00:04.289235
[2020-08-18 04:16:30,252][INFO]:轮次80，轮次时间2020-08-18 04:15:59.760473，100K路由发送延时0:00:26.063242，100K路由传输耗时0:00:04.407850
[2020-08-18 04:17:30,483][INFO]:轮次81，轮次时间2020-08-18 04:16:59.749768，100K路由发送延时0:00:26.376560，100K路由传输耗时0:00:04.337049
[2020-08-18 04:18:29,876][INFO]:轮次82，轮次时间2020-08-18 04:17:59.760921，100K路由发送延时0:00:25.787145，100K路由传输耗时0:00:04.305461
[2020-08-18 04:19:30,189][INFO]:轮次83，轮次时间2020-08-18 04:18:59.751402，100K路由发送延时0:00:26.124895，100K路由传输耗时0:00:04.281729
[2020-08-18 04:20:30,127][INFO]:轮次84，轮次时间2020-08-18 04:19:59.759416，100K路由发送延时0:00:26.008903，100K路由传输耗时0:00:04.327803
[2020-08-18 04:21:29,803][INFO]:轮次85，轮次时间2020-08-18 04:20:59.759380，100K路由发送延时0:00:25.635424，100K路由传输耗时0:00:04.389406
[2020-08-18 04:22:30,220][INFO]:轮次86，轮次时间2020-08-18 04:21:59.759399，100K路由发送延时0:00:25.985814，100K路由传输耗时0:00:04.452839
